subject_id,video_id,attention,meditation,predef_label,user_label
8.0,1.0,48.0,66.0,0.0,0.0
8.0,1.0,57.0,84.0,0.0,0.0
8.0,1.0,60.0,77.0,0.0,0.0
8.0,1.0,54.0,83.0,0.0,0.0
8.0,1.0,40.0,87.0,0.0,0.0
8.0,1.0,30.0,87.0,0.0,0.0
8.0,1.0,43.0,81.0,0.0,0.0
8.0,1.0,60.0,63.0,0.0,0.0
8.0,1.0,69.0,60.0,0.0,0.0
8.0,1.0,66.0,51.0,0.0,0.0
8.0,1.0,56.0,51.0,0.0,0.0
8.0,1.0,44.0,63.0,0.0,0.0
8.0,1.0,50.0,63.0,0.0,0.0
8.0,1.0,48.0,66.0,0.0,0.0
8.0,1.0,38.0,56.0,0.0,0.0
8.0,1.0,48.0,51.0,0.0,0.0
8.0,1.0,30.0,50.0,0.0,0.0
8.0,1.0,34.0,54.0,0.0,0.0
8.0,1.0,51.0,61.0,0.0,0.0
8.0,1.0,48.0,67.0,0.0,0.0
8.0,1.0,56.0,70.0,0.0,0.0
8.0,1.0,57.0,63.0,0.0,0.0
8.0,1.0,51.0,54.0,0.0,0.0
8.0,1.0,41.0,56.0,0.0,0.0
8.0,1.0,40.0,57.0,0.0,0.0
8.0,1.0,48.0,54.0,0.0,0.0
8.0,1.0,57.0,64.0,0.0,0.0
8.0,1.0,67.0,57.0,0.0,0.0
8.0,1.0,75.0,61.0,0.0,0.0
8.0,1.0,64.0,61.0,0.0,0.0
8.0,1.0,70.0,70.0,0.0,0.0
8.0,1.0,75.0,74.0,0.0,0.0
8.0,1.0,61.0,70.0,0.0,0.0
8.0,1.0,56.0,75.0,0.0,0.0
8.0,1.0,56.0,75.0,0.0,0.0
8.0,1.0,53.0,83.0,0.0,0.0
8.0,1.0,56.0,83.0,0.0,0.0
8.0,1.0,67.0,77.0,0.0,0.0
8.0,1.0,56.0,67.0,0.0,0.0
8.0,1.0,44.0,60.0,0.0,0.0
8.0,1.0,44.0,50.0,0.0,0.0
8.0,1.0,35.0,69.0,0.0,0.0
8.0,1.0,35.0,75.0,0.0,0.0
8.0,1.0,44.0,66.0,0.0,0.0
8.0,1.0,43.0,74.0,0.0,0.0
8.0,1.0,47.0,63.0,0.0,0.0
8.0,1.0,47.0,56.0,0.0,0.0
8.0,1.0,30.0,57.0,0.0,0.0
8.0,1.0,40.0,70.0,0.0,0.0
8.0,1.0,40.0,60.0,0.0,0.0
8.0,1.0,34.0,60.0,0.0,0.0
8.0,1.0,51.0,51.0,0.0,0.0
8.0,1.0,43.0,40.0,0.0,0.0
8.0,1.0,48.0,44.0,0.0,0.0
8.0,1.0,60.0,43.0,0.0,0.0
8.0,1.0,64.0,60.0,0.0,0.0
8.0,1.0,75.0,67.0,0.0,0.0
8.0,1.0,78.0,80.0,0.0,0.0
8.0,1.0,77.0,81.0,0.0,0.0
8.0,1.0,60.0,81.0,0.0,0.0
8.0,1.0,57.0,77.0,0.0,0.0
8.0,1.0,37.0,56.0,0.0,0.0
8.0,1.0,34.0,66.0,0.0,0.0
8.0,1.0,26.0,48.0,0.0,0.0
8.0,1.0,20.0,37.0,0.0,0.0
8.0,1.0,35.0,47.0,0.0,0.0
8.0,1.0,27.0,37.0,0.0,0.0
8.0,1.0,48.0,56.0,0.0,0.0
8.0,1.0,50.0,63.0,0.0,0.0
8.0,1.0,67.0,61.0,0.0,0.0
8.0,1.0,77.0,60.0,0.0,0.0
8.0,1.0,75.0,63.0,0.0,0.0
8.0,1.0,74.0,64.0,0.0,0.0
8.0,1.0,50.0,60.0,0.0,0.0
8.0,1.0,27.0,74.0,0.0,0.0
8.0,1.0,34.0,74.0,0.0,0.0
8.0,1.0,17.0,63.0,0.0,0.0
8.0,1.0,24.0,66.0,0.0,0.0
8.0,1.0,34.0,47.0,0.0,0.0
8.0,1.0,26.0,44.0,0.0,0.0
8.0,1.0,37.0,50.0,0.0,0.0
8.0,1.0,41.0,57.0,0.0,0.0
8.0,1.0,40.0,69.0,0.0,0.0
8.0,1.0,40.0,69.0,0.0,0.0
8.0,1.0,40.0,69.0,0.0,0.0
8.0,1.0,35.0,74.0,0.0,0.0
8.0,1.0,37.0,66.0,0.0,0.0
8.0,1.0,37.0,51.0,0.0,0.0
8.0,1.0,27.0,53.0,0.0,0.0
8.0,1.0,30.0,38.0,0.0,0.0
8.0,1.0,29.0,30.0,0.0,0.0
8.0,1.0,48.0,48.0,0.0,0.0
8.0,1.0,61.0,51.0,0.0,0.0
8.0,1.0,66.0,67.0,0.0,0.0
8.0,1.0,74.0,78.0,0.0,0.0
8.0,1.0,50.0,78.0,0.0,0.0
8.0,1.0,53.0,83.0,0.0,0.0
8.0,1.0,53.0,81.0,0.0,0.0
8.0,1.0,41.0,97.0,0.0,0.0
8.0,1.0,57.0,87.0,0.0,0.0
8.0,1.0,56.0,83.0,0.0,0.0
8.0,1.0,57.0,84.0,0.0,0.0
8.0,1.0,64.0,64.0,0.0,0.0
8.0,1.0,51.0,69.0,0.0,0.0
8.0,1.0,51.0,69.0,0.0,0.0
8.0,1.0,40.0,75.0,0.0,0.0
8.0,1.0,40.0,69.0,0.0,0.0
8.0,1.0,43.0,75.0,0.0,0.0
8.0,1.0,61.0,75.0,0.0,0.0
8.0,1.0,84.0,64.0,0.0,0.0
8.0,1.0,88.0,63.0,0.0,0.0
8.0,1.0,78.0,60.0,0.0,0.0
8.0,1.0,64.0,67.0,0.0,0.0
8.0,1.0,47.0,64.0,0.0,0.0
8.0,1.0,34.0,57.0,0.0,0.0
8.0,1.0,29.0,67.0,0.0,0.0
8.0,1.0,29.0,56.0,0.0,0.0
8.0,1.0,40.0,60.0,0.0,0.0
8.0,1.0,56.0,61.0,0.0,0.0
8.0,1.0,70.0,53.0,0.0,0.0
8.0,1.0,64.0,51.0,0.0,0.0
8.0,1.0,53.0,61.0,0.0,0.0
8.0,1.0,35.0,51.0,0.0,0.0
8.0,1.0,35.0,44.0,0.0,0.0
8.0,1.0,50.0,53.0,0.0,0.0
8.0,1.0,60.0,41.0,0.0,0.0
8.0,1.0,69.0,44.0,0.0,0.0
8.0,1.0,60.0,37.0,0.0,0.0
8.0,1.0,69.0,40.0,0.0,0.0
8.0,1.0,61.0,35.0,0.0,0.0
8.0,1.0,61.0,57.0,0.0,0.0
8.0,1.0,64.0,75.0,0.0,0.0
8.0,1.0,51.0,64.0,0.0,0.0
8.0,1.0,56.0,77.0,0.0,0.0
8.0,1.0,60.0,83.0,0.0,0.0
8.0,1.0,60.0,80.0,0.0,0.0
8.0,1.0,56.0,97.0,0.0,0.0
8.0,1.0,48.0,100.0,0.0,0.0
8.0,1.0,37.0,78.0,0.0,0.0
8.0,1.0,37.0,96.0,0.0,0.0
8.0,1.0,44.0,97.0,0.0,0.0
8.0,1.0,41.0,93.0,0.0,0.0
